Date,Open,High,Low,Close,Adj Close,Volume
"May 26, 2023","13,977.75","14,369.00","13,924.50","14,332.50","14,332.50","819,148"
"May 25, 2023","13,877.00","14,031.25","13,803.00","13,976.50","13,976.50","819,148"
"May 24, 2023","13,729.00","13,845.75","13,566.50","13,650.25","13,650.25","704,804"
"May 23, 2023","13,913.25","13,979.25","13,710.00","13,728.75","13,728.75","658,680"
"May 22, 2023","13,805.50","13,946.75","13,794.25","13,902.50","13,902.50","538,203"
"May 19, 2023","13,908.50","13,960.25","13,814.25","13,858.00","13,858.00","659,819"
"May 18, 2023","13,640.50","13,913.00","13,628.25","13,894.00","13,894.00","749,496"
"May 17, 2023","13,498.50","13,669.00","13,474.25","13,643.50","13,643.50","621,137"
"May 16, 2023","13,461.00","13,554.50","13,426.25","13,483.25","13,483.25","561,834"
"May 15, 2023","13,378.75","13,480.00","13,350.00","13,468.00","13,468.00","495,940"
"May 12, 2023","13,446.00","13,494.25","13,310.50","13,396.25","13,396.25","628,035"
"May 11, 2023","13,410.00","13,470.25","13,361.50","13,446.50","13,446.50","653,399"
"May 10, 2023","13,258.75","13,446.75","13,202.75","13,409.50","13,409.50","839,699"
"May 09, 2023","13,338.50","13,347.00","13,250.50","13,264.75","13,264.75","552,248"
"May 08, 2023","13,316.00","13,368.00","13,254.50","13,352.25","13,352.25","506,054"
"May 05, 2023","13,060.00","13,359.00","13,055.75","13,317.75","13,317.75","573,291"
"May 04, 2023","13,064.00","13,173.00","13,001.75","13,043.75","13,043.75","656,440"
"May 03, 2023","13,162.00","13,314.00","13,080.00","13,100.75","13,100.75","648,753"
"May 02, 2023","13,290.00","13,334.75","13,110.25","13,184.50","13,184.50","664,855"
"May 01, 2023","13,317.00","13,370.25","13,258.75","13,306.75","13,306.75","487,908"
"Apr 28, 2023","13,215.00","13,336.00","13,169.00","13,320.25","13,320.25","671,058"
"Apr 27, 2023","12,965.00","13,333.00","12,936.00","13,231.25","13,231.25","728,241"
"Apr 26, 2023","12,940.00","13,012.25","12,863.75","12,887.75","12,887.75","755,124"
"Apr 25, 2023","13,050.25","13,059.50","12,800.00","12,809.50","12,809.50","694,266"
"Apr 24, 2023","13,070.00","13,134.00","12,967.25","13,056.50","13,056.50","582,286"
"Apr 21, 2023","13,089.00","13,122.00","12,982.50","13,090.50","13,090.50","593,982"
"Apr 20, 2023","13,162.00","13,200.00","13,021.75","13,074.25","13,074.25","680,299"
"Apr 19, 2023","13,170.50","13,226.75","13,065.00","13,183.00","13,183.00","529,506"
"Apr 18, 2023","13,184.00","13,298.75","13,138.00","13,193.00","13,193.00","576,668"
"Apr 17, 2023","13,212.50","13,218.00","13,076.75","13,186.50","13,186.50","540,742"
"Apr 14, 2023","13,183.00","13,255.00","13,058.00","13,181.25","13,181.25","627,824"
"Apr 13, 2023","12,957.00","13,228.00","12,925.50","13,209.75","13,209.75","558,233"
"Apr 12, 2023","13,073.75","13,241.75","12,937.75","12,952.25","12,952.25","684,779"
"Apr 11, 2023","13,163.25","13,208.75","13,053.50","13,074.75","13,074.75","549,047"
"Apr 10, 2023","13,179.75","13,203.25","12,967.50","13,158.00","13,158.00","553,003"
"Apr 06, 2023","13,072.75","13,191.00","12,953.25","13,170.75","13,170.75","41,224"
"Apr 05, 2023","13,230.00","13,247.25","13,006.00","13,079.75","13,079.75","594,608"
"Apr 04, 2023","13,259.00","13,348.75","13,168.25","13,219.00","13,219.00","577,032"
"Apr 03, 2023","13,262.00","13,278.75","13,154.00","13,270.00","13,270.00","542,896"
"Mar 31, 2023","13,084.25","13,311.50","13,057.50","13,301.75","13,301.75","624,955"
"Mar 30, 2023","12,962.50","13,111.75","12,931.50","13,082.00","13,082.00","583,151"
"Mar 29, 2023","12,745.50","12,994.00","12,742.00","12,965.00","12,965.00","566,316"
"Mar 28, 2023","12,810.50","12,833.50","12,634.25","12,732.50","12,732.50","537,965"
"Mar 27, 2023","12,916.00","12,984.50","12,765.50","12,788.50","12,788.50","562,634"
"Mar 24, 2023","12,871.50","12,924.75","12,728.00","12,890.25","12,890.25","676,547"
"Mar 23, 2023","12,695.00","13,031.00","12,694.25","12,854.00","12,854.00","838,385"
"Mar 22, 2023","12,873.25","13,082.00","12,678.00","12,707.00","12,707.00","713,083"
"Mar 21, 2023","12,699.75","12,898.25","12,676.50","12,867.25","12,867.25","565,860"
"Mar 20, 2023","12,690.00","12,750.00","12,525.25","12,688.50","12,688.50","694,471"
"Mar 17, 2023","12,575.75","12,636.50","12,531.75","12,594.65","12,594.65","734,052"
"Mar 16, 2023","12,264.50","12,600.50","12,189.25","12,583.00","12,583.00","181,754"
"Mar 15, 2023","12,200.75","12,280.00","11,972.00","12,247.75","12,247.75","261,341"
"Mar 14, 2023","11,960.00","12,223.00","11,921.75","12,207.00","12,207.00","364,395"
"Mar 13, 2023","11,894.75","12,095.75","11,674.25","11,931.75","11,931.75","694,438"
"Mar 10, 2023","12,005.00","12,109.00","11,795.00","11,840.25","11,840.25","871,209"
"Mar 09, 2023","12,231.00","12,353.50","11,977.50","12,007.25","12,007.25","816,838"
"Mar 08, 2023","12,170.00","12,254.50","12,108.25","12,228.25","12,228.25","633,419"
"Mar 07, 2023","12,320.25","12,381.25","12,142.25","12,169.00","12,169.00","685,006"
"Mar 06, 2023","12,306.25","12,486.25","12,276.25","12,323.50","12,323.50","612,506"
"Mar 03, 2023","12,049.00","12,329.00","12,012.00","12,311.25","12,311.25","675,472"
"Mar 02, 2023","11,967.00","12,096.25","11,832.50","12,062.00","12,062.00","752,009"
"Mar 01, 2023","12,041.25","12,141.75","11,924.75","11,961.75","11,961.75","759,645"
"Feb 28, 2023","12,093.50","12,172.75","12,025.75","12,072.25","12,072.25","646,026"
"Feb 27, 2023","12,003.00","12,189.50","11,990.00","12,083.25","12,083.25","578,952"
"Feb 24, 2023","12,190.00","12,214.50","11,923.00","11,997.00","11,997.00","643,618"
"Feb 23, 2023","12,176.25","12,261.00","12,028.50","12,207.50","12,207.50","640,962"
"Feb 22, 2023","12,108.00","12,190.50","12,034.00","12,097.50","12,097.50","640,711"
"Feb 21, 2023","12,380.00","12,417.75","12,090.25","12,096.75","12,096.75","609,494"
"Feb 17, 2023","12,462.50","12,466.25","12,265.75","12,390.00","12,390.00","629,355"
"Feb 16, 2023","12,740.00","12,792.75","12,455.25","12,482.50","12,482.50","682,325"
"Feb 15, 2023","12,620.75","12,756.50","12,524.25","12,730.00","12,730.00","568,579"
"Feb 14, 2023","12,547.25","12,687.00","12,390.50","12,631.00","12,631.00","719,204"
"Feb 13, 2023","12,357.50","12,567.00","12,265.25","12,540.50","12,540.50","467,840"
"Feb 10, 2023","12,448.75","12,451.50","12,243.25","12,346.25","12,346.25","600,244"
"Feb 09, 2023","12,555.00","12,728.50","12,366.50","12,425.50","12,425.50","612,404"
"Feb 08, 2023","12,747.00","12,808.50","12,512.75","12,545.25","12,545.25","590,355"
"Feb 07, 2023","12,513.00","12,818.50","12,459.25","12,776.75","12,776.75","744,996"
"Feb 06, 2023","12,572.00","12,608.50","12,455.75","12,515.50","12,515.50","535,147"
"Feb 03, 2023","12,748.25","12,878.00","12,551.25","12,624.00","12,624.00","824,209"
"Feb 02, 2023","12,520.00","12,949.75","12,501.75","12,846.75","12,846.75","817,822"
"Feb 01, 2023","12,116.00","12,524.50","12,055.25","12,414.25","12,414.25","668,515"
"Jan 31, 2023","11,984.00","12,156.00","11,871.00","12,152.00","12,152.00","585,202"
"Jan 30, 2023","12,212.50","12,252.00","11,960.00","11,968.00","11,968.00","634,667"
"Jan 27, 2023","12,049.00","12,308.50","12,016.00","12,222.25","12,222.25","588,072"
"Jan 26, 2023","11,874.75","12,113.00","11,867.25","12,106.75","12,106.75","621,434"
"Jan 25, 2023","11,970.50","11,976.50","11,604.50","11,873.25","11,873.25","633,473"
"Jan 24, 2023","11,933.00","12,010.50","11,835.75","11,909.50","11,909.50","511,370"
"Jan 23, 2023","11,676.75","11,983.00","11,650.50","11,934.00","11,934.00","593,978"
"Jan 20, 2023","11,401.00","11,686.75","11,365.25","11,677.00","11,677.00","577,769"
"Jan 19, 2023","11,470.50","11,487.00","11,308.50","11,356.50","11,356.50","594,769"
"Jan 18, 2023","11,619.75","11,759.50","11,468.00","11,475.75","11,475.75","619,614"
"Jan 17, 2023","11,613.50","11,685.00","11,510.25","11,624.50","11,624.50","576,141"
"Jan 16, 2023","11,613.50","11,638.75","11,510.25","11,564.00","11,564.00","482,002"
"Jan 13, 2023","11,528.50","11,619.50","11,389.00","11,608.00","11,608.00","482,002"
"Jan 12, 2023","11,474.50","11,579.75","11,291.00","11,534.25","11,534.25","754,571"
"Jan 11, 2023","11,282.50","11,479.50","11,239.75","11,476.50","11,476.50","500,153"
"Jan 10, 2023","11,184.75","11,288.75","11,094.00","11,282.00","11,282.00","559,281"
"Jan 09, 2023","11,126.50","11,385.50","11,120.25","11,185.50","11,185.50","646,318"
"Jan 06, 2023","10,838.75","11,165.75","10,751.00","11,113.50","11,113.50","736,332"
"Jan 05, 2023","10,988.50","11,046.75","10,805.00","10,820.25","10,820.25","694,452"
